customer_id,customer_name,segment,Recency,Frequency,Monetary,cluster,Segment
BM-11140,Becky Martin,Consumer,307,4,11789.63,0,High Value
BM-11575,Brendan Murry,Corporate,100,6,808.162,2,At Risk
BM-11650,Brian Moss,Corporate,33,11,7294.185,0,High Value
BM-11785,Bryan Mills,Consumer,218,10,1338.842,1,Loyal Regular
BN-11470,Brad Norvell,Corporate,24,4,265.296,2,At Risk
BN-11515,Bradley Nguyen,Consumer,9,5,1459.344,2,At Risk
BO-11350,Bill Overfelt,Corporate,137,5,2682.728,2,At Risk
BO-11425,Bobby Odegard,Consumer,75,2,130.83,2,At Risk
BP-11050,Barry Pond,Corporate,83,5,983.42,2,At Risk
BP-11095,Bart Pistole,Corporate,17,12,2442.044,1,Loyal Regular
BP-11155,Becky Pak,Consumer,89,6,1697.861,2,At Risk
BP-11185,Ben Peterman,Corporate,1,9,3675.861,1,Loyal Regular
BP-11230,Benjamin Patterson,Consumer,39,5,1181.49,2,At Risk
BP-11290,Beth Paige,Consumer,12,7,2475.157,1,Loyal Regular
BS-11365,Bill Shonely,Corporate,558,5,10501.653,0,High Value
BS-11380,Bill Stewart,Corporate,28,5,3887.834,2,At Risk
BS-11590,Brendan Sweed,Corporate,35,6,2454.928,2,At Risk
BS-11665,Brian Stugart,Consumer,582,3,3288.11,3,New / Low Engagement
BS-11755,Bruce Stewart,Consumer,1,7,2562.382,1,Loyal Regular
BS-11800,Bryan Spruell,Home Office,265,2,949.43,2,At Risk
BT-11305,Beth Thompson,Home Office,336,5,2567.656,2,At Risk
BT-11395,Bill Tyler,Corporate,302,6,2186.6130000000003,2,At Risk
BT-11440,Bobby Trafton,Consumer,560,4,603.876,3,New / Low Engagement
BT-11485,Brad Thomas,Home Office,659,2,415.196,3,New / Low Engagement
BT-11530,Bradley Talbott,Home Office,91,5,2684.492,2,At Risk
BT-11680,Brian Thompson,Consumer,20,7,3196.752,1,Loyal Regular
BV-11245,Benjamin Venier,Corporate,334,5,1523.273,2,At Risk
BW-11065,Barry Weirich,Consumer,212,3,385.516,2,At Risk
BW-11110,Bart Watters,Corporate,121,8,4750.358,1,Loyal Regular
BW-11200,Ben Wallace,Consumer,203,6,1738.406,2,At Risk
CA-11965,Carol Adams,Corporate,96,6,3789.7228,2,At Risk
CA-12055,Cathy Armstrong,Home Office,401,5,1679.7240000000002,3,New / Low Engagement
CA-12265,Christina Anderson,Consumer,56,8,2638.3272,1,Loyal Regular
CA-12310,Christine Abelman,Corporate,13,4,1421.954,2,At Risk
CA-12775,Cynthia Arntzen,Consumer,120,7,3041.566,1,Loyal Regular
CB-12025,Cassandra Brandow,Consumer,47,9,5730.669,1,Loyal Regular
CB-12415,Christy Brittain,Consumer,26,8,1949.2,1,Loyal Regular
CB-12535,Claudia Bergmann,Corporate,197,8,4246.4555,1,Loyal Regular
CC-12100,Chad Cunningham,Home Office,457,5,1685.889,3,New / Low Engagement
CC-12145,Charles Crestani,Consumer,106,7,2471.65,1,Loyal Regular
CC-12220,Chris Cortes,Consumer,20,11,3670.258,1,Loyal Regular
CC-12370,Christopher Conant,Consumer,43,5,12129.072000000002,0,High Value
CC-12430,Chuck Clark,Home Office,0,10,2870.05,1,Loyal Regular
CC-12475,Cindy Chapman,Consumer,39,9,1659.438,1,Loyal Regular
CC-12550,Clay Cheatham,Consumer,27,3,113.832,2,At Risk
CC-12610,Corey Catlett,Corporate,34,7,2540.631,1,Loyal Regular
CC-12670,Craig Carreira,Consumer,29,7,2269.7015,1,Loyal Regular
CC-12685,Craig Carroll,Consumer,798,4,2854.115,3,New / Low Engagement
CD-11920,Carlos Daly,Consumer,40,5,2033.968,2,At Risk
CD-11980,Carol Darley,Consumer,54,3,639.766,2,At Risk
CD-12280,Christina DeMoss,Consumer,42,2,1205.584,2,At Risk
CD-12790,Cynthia Delaney,Home Office,399,5,1860.732,3,New / Low Engagement
CG-12040,Catherine Glotzbach,Home Office,49,6,904.468,2,At Risk
CG-12520,Claire Gute,Consumer,338,3,1148.7800000000002,3,New / Low Engagement
CH-12070,Cathy Hwang,Home Office,690,3,1537.236,3,New / Low Engagement
CJ-11875,Carl Jackson,Corporate,365,1,16.52,3,New / Low Engagement
CJ-12010,Caroline Jumper,Consumer,189,8,11164.974,0,High Value
CK-12205,Chloris Kastensmidt,Consumer,39,13,3154.855,1,Loyal Regular
CK-12325,Christine Kargatis,Home Office,120,5,2945.321,2,At Risk
CK-12595,Clytie Kelty,Consumer,43,11,2372.75,1,Loyal Regular
CK-12760,Cyma Kinney,Corporate,82,9,1582.109,1,Loyal Regular
CL-11890,Carl Ludwig,Consumer,106,4,1262.014,2,At Risk
CL-12565,Clay Ludtke,Consumer,284,12,10880.546,0,High Value
CL-12700,Craig Leslie,Home Office,260,4,2335.586,2,At Risk
CM-11815,Candace McMahon,Corporate,131,6,1673.888,2,At Risk
CM-11935,Carlos Meador,Consumer,707,2,565.392,3,New / Low Engagement
CM-12115,Chad McGuire,Consumer,8,4,1661.61,2,At Risk
CM-12160,Charles McCrossin,Consumer,26,6,2533.314,2,At Risk
CM-12190,Charlotte Melton,Consumer,8,6,1475.144,2,At Risk
CM-12235,Chris McAfee,Consumer,385,5,2305.712,3,New / Low Engagement
CM-12385,Christopher Martinez,Consumer,37,4,8954.019999999999,0,High Value
CM-12445,Chuck Magee,Consumer,436,3,287.99,3,New / Low Engagement
CM-12655,Corinna Mitchell,Home Office,27,5,5890.508,2,At Risk
CM-12715,Craig Molinari,Corporate,1034,4,3984.4524,3,New / Low Engagement
CP-12085,Cathy Prescott,Corporate,82,8,5402.254,1,Loyal Regular
CP-12340,Christine Phan,Corporate,160,7,5817.187,1,Loyal Regular
CR-12580,Clay Rozendal,Home Office,57,4,2148.852,2,At Risk
CR-12625,Corey Roper,Home Office,470,3,475.9,3,New / Low Engagement
CR-12730,Craig Reiter,Consumer,78,4,1600.55,2,At Risk
CR-12820,Cyra Reiten,Home Office,85,3,1397.8724,2,At Risk
CS-11845,Cari Sayre,Corporate,91,5,1278.954,2,At Risk
CS-11860,Cari Schnelling,Consumer,162,6,537.632,2,At Risk
CS-11950,Carlos Soltero,Consumer,25,11,3036.547,1,Loyal Regular
CS-12130,Chad Sievert,Consumer,489,4,884.64,3,New / Low Engagement
CS-12175,Charles Sheldon,Corporate,232,5,844.4580000000001,2,At Risk
CS-12250,Chris Selesnick,Corporate,26,12,2754.216,1,Loyal Regular
CS-12355,Christine Sundaresam,Consumer,6,11,3202.1620000000003,1,Loyal Regular
CS-12400,Christopher Schild,Home Office,2,9,3651.8585,1,Loyal Regular
CS-12460,Chuck Sachs,Consumer,27,2,550.644,2,At Risk
CS-12490,Cindy Schnelling,Corporate,424,4,970.1105,3,New / Low Engagement
CS-12505,Cindy Stewart,Consumer,58,6,5690.054999999999,1,Loyal Regular
CT-11995,Carol Triggs,Consumer,96,8,3241.898,1,Loyal Regular
CV-12295,Christina VanderZanden,Consumer,254,5,2830.628,2,At Risk
CV-12805,Cynthia Voltz,Corporate,5,9,2370.3136,1,Loyal Regular
CW-11905,Carl Weiss,Home Office,22,6,1136.592,2,At Risk
CY-12745,Craig Yedwab,Corporate,60,7,2004.082,1,Loyal Regular
Co-12640,Corey-Lock,Consumer,549,5,1300.076,3,New / Low Engagement
DA-13450,Dianna Arnett,Home Office,352,4,156.76,3,New / Low Engagement
DB-12910,Daniel Byrd,Home Office,21,8,2171.599,1,Loyal Regular
DB-12970,Darren Budd,Corporate,241,4,2469.6672,2,At Risk
DB-13060,Dave Brooks,Consumer,16,6,4151.51,1,Loyal Regular
DB-13120,David Bremer,Corporate,48,7,2973.094,1,Loyal Regular
DB-13210,Dean Braden,Consumer,9,10,2332.577,1,Loyal Regular
DB-13270,Deborah Brumfield,Home Office,53,8,4655.897,1,Loyal Regular
DB-13360,Dennis Bolton,Home Office,264,5,1081.466,2,At Risk
DB-13405,Denny Blanton,Consumer,187,4,1711.692,2,At Risk
DB-13555,Dorothy Badders,Corporate,107,7,3908.8028,1,Loyal Regular
DB-13615,Doug Bickford,Consumer,33,7,1989.05,1,Loyal Regular
DB-13660,Duane Benoit,Consumer,12,7,1155.202,2,At Risk
DC-12850,Dan Campbell,Consumer,37,9,3336.168,1,Loyal Regular
DC-13285,Debra Catini,Consumer,23,5,1174.618,2,At Risk
DD-13570,Dorothy Dickinson,Consumer,41,6,269.542,2,At Risk
DE-13255,Deanra Eno,Home Office,718,5,2550.874,3,New / Low Engagement
DF-13135,David Flashing,Consumer,699,3,2390.534,3,New / Low Engagement
DG-13300,Deirdre Greer,Corporate,32,5,3195.818,2,At Risk
DH-13075,Dave Hallsten,Corporate,277,5,3487.1980000000003,2,At Risk
DH-13675,Duane Huffman,Home Office,775,4,1043.096,3,New / Low Engagement
DJ-13420,Denny Joy,Corporate,637,4,2012.52,3,New / Low Engagement
DJ-13510,Don Jones,Corporate,48,8,2501.688,1,Loyal Regular
DJ-13630,Doug Jacobs,Consumer,12,3,3356.398,2,At Risk
DK-12835,Damala Kotsonis,Corporate,21,12,3256.48,1,Loyal Regular
DK-12895,Dana Kaydos,Consumer,45,5,4282.176,2,At Risk
DK-12985,Darren Koutras,Consumer,7,5,1687.04,2,At Risk
DK-13090,Dave Kipp,Consumer,42,7,2650.557,1,Loyal Regular
DK-13150,David Kendrick,Corporate,10,2,797.832,2,At Risk
DK-13225,Dean Katz,Corporate,10,9,4802.394,1,Loyal Regular
DK-13375,Dennis Kane,Consumer,19,8,3318.486,1,Loyal Regular
DL-12865,Dan Lawera,Consumer,100,7,444.024,2,At Risk
DL-12925,Daniel Lacy,Consumer,57,6,3272.2,2,At Risk
DL-13315,Delfina Latchford,Consumer,22,8,1458.258,1,Loyal Regular
DL-13330,Denise Leinenbach,Consumer,57,4,585.02,2,At Risk
DL-13495,Dionis Lloyd,Corporate,76,8,3539.322,1,Loyal Regular
DM-12955,Dario Medina,Corporate,114,7,1322.034,2,At Risk
DM-13015,Darrin Martin,Consumer,57,7,6345.103,1,Loyal Regular
DM-13345,Denise Monton,Corporate,22,8,4074.472,1,Loyal Regular
DM-13525,Don Miller,Corporate,481,3,1376.792,3,New / Low Engagement
DN-13690,Duane Noonan,Consumer,217,7,2139.79,1,Loyal Regular
DO-13435,Denny Ordway,Consumer,133,9,1300.0315,1,Loyal Regular
DO-13645,Doug O'Connell,Consumer,26,7,1267.316,1,Loyal Regular
DP-13000,Darren Powers,Consumer,126,8,897.524,1,Loyal Regular
DP-13105,Dave Poirier,Corporate,6,8,2215.002,1,Loyal Regular
DP-13165,David Philippe,Consumer,811,2,1058.616,3,New / Low Engagement
DP-13390,Dennis Pardue,Home Office,358,9,5480.723999999999,1,Loyal Regular
DR-12880,Dan Reichenbach,Corporate,3,9,6528.034000000001,1,Loyal Regular
DR-12940,Daniel Raglin,Home Office,50,8,8350.868,0,High Value
DS-13030,Darrin Sayre,Home Office,93,4,1762.213,2,At Risk
DS-13180,David Smith,Corporate,23,9,2881.8128,1,Loyal Regular
DV-13045,Darrin Van Huff,Corporate,19,5,1119.483,2,At Risk
DV-13465,Dianna Vittorini,Consumer,29,5,3254.487,2,At Risk
DW-13195,David Wiener,Corporate,69,6,1080.751,2,At Risk
DW-13480,Dianna Wilson,Home Office,217,5,5271.628,2,At Risk
DW-13540,Don Weiss,Consumer,98,5,344.08,2,At Risk
DW-13585,Dorothy Wardle,Corporate,242,7,1204.854,2,At Risk
Dl-13600,Dorris liebe,Corporate,119,5,755.602,2,At Risk
Dp-13240,Dean percer,Home Office,84,11,7198.761,0,High Value
EA-14035,Erin Ashbrook,Corporate,152,12,2752.441,1,Loyal Regular
EB-13705,Ed Braxton,Corporate,48,9,3644.978,1,Loyal Regular
EB-13750,Edward Becker,Corporate,35,10,3236.314,1,Loyal Regular
EB-13840,Ellis Ballard,Corporate,90,4,964.448,2,At Risk
EB-13870,Emily Burns,Consumer,100,10,2767.219,1,Loyal Regular
EB-13930,Eric Barreto,Consumer,161,5,944.6,2,At Risk
EB-13975,Erica Bern,Corporate,0,4,1643.255,2,At Risk
EB-14110,Eugene Barchas,Consumer,113,6,3071.126,2,At Risk
EB-14170,Evan Bailliet,Consumer,82,6,1186.326,2,At Risk
EC-14050,Erin Creighton,Consumer,53,5,461.914,2,At Risk
ED-13885,Emily Ducich,Home Office,135,8,3484.92,1,Loyal Regular
EG-13900,Emily Grady,Consumer,22,5,1832.02,2,At Risk
EH-13765,Edward Hooks,Corporate,135,10,9940.38,0,High Value
EH-13945,Eric Hoffmann,Consumer,217,8,684.1709999999999,1,Loyal Regular
EH-13990,Erica Hackney,Consumer,405,6,825.9499999999999,3,New / Low Engagement
EH-14005,Erica Hernandez,Home Office,2,7,1219.53,1,Loyal Regular
EH-14125,Eugene Hildebrand,Home Office,152,10,3082.653,1,Loyal Regular
EH-14185,Evan Henry,Consumer,105,6,923.884,2,At Risk
EJ-13720,Ed Jacobs,Consumer,302,4,2162.174,2,At Risk
EJ-14155,Eva Jacobs,Consumer,57,5,2656.691,2,At Risk
EK-13795,Eileen Kiefer,Home Office,44,4,1303.478,2,At Risk
EL-13735,Ed Ludwig,Home Office,77,2,124.28,2,At Risk
EM-13810,Eleni McCrary,Corporate,132,5,2567.01,2,At Risk
EM-13825,Elizabeth Moffitt,Corporate,55,8,2339.598,1,Loyal Regular
EM-13960,Eric Murdock,Consumer,151,5,933.704,2,At Risk
EM-14065,Erin Mull,Consumer,47,4,228.99,2,At Risk
EM-14095,Eudokia Martin,Corporate,113,4,1041.042,2,At Risk
EM-14140,Eugene Moren,Home Office,48,6,4588.436000000001,1,Loyal Regular
EM-14200,Evan Minnotte,Home Office,158,3,366.822,2,At Risk
EN-13780,Edward Nazzal,Consumer,287,4,2199.366,2,At Risk
EP-13915,Emily Phan,Consumer,12,17,5478.0608,1,Loyal Regular
ER-13855,Elpida Rittenbach,Corporate,421,3,1245.788,3,New / Low Engagement
ES-14020,Erica Smith,Consumer,40,5,3510.458,2,At Risk
ES-14080,Erin Smith,Corporate,28,9,4657.924,1,Loyal Regular
FA-14230,Frank Atkinson,Corporate,97,7,2984.054,1,Loyal Regular
FC-14245,Frank Carlisle,Home Office,70,7,3418.742,1,Loyal Regular
FC-14335,Fred Chung,Corporate,184,7,3889.366,1,Loyal Regular
FG-14260,Frank Gastineau,Home Office,34,7,1383.144,1,Loyal Regular
FH-14275,Frank Hawley,Corporate,37,10,4256.272,1,Loyal Regular
FH-14350,Fred Harton,Consumer,212,4,2271.284,2,At Risk
FH-14365,Fred Hopkins,Corporate,5,8,6987.196,0,High Value
FM-14215,Filia McAdams,Corporate,7,10,2456.638,1,Loyal Regular
FM-14290,Frank Merwin,Home Office,36,9,3736.198,1,Loyal Regular
FM-14380,Fred McMath,Consumer,145,9,2523.266,1,Loyal Regular
FO-14305,Frank Olsen,Consumer,38,10,2678.438,1,Loyal Regular
FP-14320,Frank Preis,Consumer,23,8,4046.746,1,Loyal Regular
FW-14395,Fred Wasserman,Corporate,362,3,79.75,3,New / Low Engagement
GA-14515,George Ashbrook,Consumer,149,5,3797.232,2,At Risk
GA-14725,Guy Armstrong,Consumer,5,11,1398.382,1,Loyal Regular
GB-14530,George Bell,Corporate,62,11,1568.44,1,Loyal Regular
GB-14575,Giulietta Baptist,Consumer,13,5,4716.288,2,At Risk
GD-14590,Giulietta Dortch,Corporate,5,4,1888.07,2,At Risk
GG-14650,Greg Guthrie,Corporate,43,9,2224.0,1,Loyal Regular
GH-14410,Gary Hansen,Home Office,75,9,2819.467,1,Loyal Regular
GH-14425,Gary Hwang,Consumer,50,4,4172.8460000000005,2,At Risk
GH-14485,Gene Hale,Corporate,387,2,1361.244,3,New / Low Engagement
GH-14665,Greg Hansen,Consumer,2,2,146.94080000000002,2,At Risk
GK-14620,Grace Kelly,Corporate,112,9,6497.27,0,High Value
GM-14440,Gary McGarr,Consumer,83,7,3582.82,1,Loyal Regular
GM-14455,Gary Mitchum,Home Office,16,6,3078.624,2,At Risk
GM-14500,Gene McClure,Consumer,106,10,1255.682,1,Loyal Regular
GM-14680,Greg Matthias,Consumer,152,6,3163.628,2,At Risk
GM-14695,Greg Maxwell,Corporate,117,3,6049.966,2,At Risk
GP-14740,Guy Phonely,Corporate,764,2,236.53,3,New / Low Engagement
GR-14560,Georgia Rosenberg,Corporate,1135,2,1284.38,3,New / Low Engagement
GT-14635,Grant Thornton,Corporate,56,3,9351.212,0,High Value
GT-14710,Greg Tran,Consumer,36,11,11820.12,0,High Value
GT-14755,Guy Thornton,Consumer,34,4,226.436,2,At Risk
GW-14605,Giulietta Weimer,Consumer,28,7,2189.019,1,Loyal Regular
GZ-14470,Gary Zandusky,Consumer,7,9,4355.150000000001,1,Loyal Regular
GZ-14545,George Zrebassa,Corporate,157,4,2454.6220000000003,2,At Risk
HA-14905,Helen Abelman,Consumer,69,7,2163.3,1,Loyal Regular
HA-14920,Helen Andreada,Consumer,20,8,2584.158,1,Loyal Regular
HD-14785,Harold Dahlen,Home Office,768,3,251.36,3,New / Low Engagement
HE-14800,Harold Engle,Corporate,12,3,755.462,2,At Risk
HF-14995,Herbert Flentye,Consumer,21,7,2533.164,1,Loyal Regular
HG-14845,Harry Greene,Consumer,54,5,785.628,2,At Risk
HG-14965,Henry Goldwyn,Corporate,23,12,3247.642,1,Loyal Regular
HG-15025,Hunter Glantz,Consumer,6,7,3690.284,1,Loyal Regular
HH-15010,Hilary Holden,Corporate,72,2,218.668,2,At Risk
HJ-14875,Heather Jas,Home Office,126,5,358.1,2,At Risk
HK-14890,Heather Kirkland,Corporate,151,8,4877.784,1,Loyal Regular
HL-15040,Hunter Lopez,Consumer,43,6,12873.298,0,High Value
HM-14860,Harry Marie,Corporate,2,10,8236.7648,0,High Value
HM-14980,Henry MacAllister,Consumer,247,4,736.276,2,At Risk
HP-14815,Harold Pawlan,Home Office,30,7,1990.314,1,Loyal Regular
HR-14770,Hallie Redmond,Home Office,13,4,940.588,2,At Risk
HR-14830,Harold Ryan,Corporate,159,7,5248.787,1,Loyal Regular
HW-14935,Helen Wasserman,Corporate,117,7,4827.934,1,Loyal Regular
HZ-14950,Henia Zydlo,Consumer,35,5,886.52,2,At Risk
IG-15085,Ivan Gibson,Consumer,71,4,744.574,2,At Risk
IL-15100,Ivan Liston,Consumer,142,7,5040.736,1,Loyal Regular
IM-15055,Ionia McGrath,Consumer,409,2,48.4,3,New / Low Engagement
IM-15070,Irene Maddox,Consumer,390,7,4930.474,1,Loyal Regular
JA-15970,Joseph Airdo,Consumer,92,8,6491.026,0,High Value
JB-15400,Jennifer Braxton,Corporate,7,10,1791.605,1,Loyal Regular
JB-15925,Joni Blumstein,Consumer,736,3,900.552,3,New / Low Engagement
JB-16000,Joy Bell-,Consumer,43,7,644.1188,2,At Risk
JB-16045,Julia Barnett,Home Office,7,5,2518.115,2,At Risk
JC-15340,Jasper Cacioppo,Consumer,114,4,71.263,2,At Risk
JC-15385,Jenna Caffey,Consumer,175,1,1058.108,2,At Risk
JC-15775,John Castell,Consumer,158,9,2772.055,1,Loyal Regular
JC-16105,Julie Creighton,Corporate,57,5,858.576,2,At Risk
JD-15790,John Dryer,Consumer,117,5,2152.352,2,At Risk
JD-15895,Jonathan Doherty,Corporate,394,11,7610.864,0,High Value
JD-16015,Joy Daniels,Consumer,112,6,385.43,2,At Risk
JD-16060,Julia Dunbar,Consumer,300,3,695.442,2,At Risk
JD-16150,Justin Deggeller,Corporate,41,8,8828.0305,0,High Value
JE-15475,Jeremy Ellison,Consumer,193,6,1388.682,2,At Risk
JE-15610,Jim Epp,Corporate,48,7,7754.976,0,High Value
JE-15715,Joe Elijah,Consumer,46,10,8697.842999999999,0,High Value
JE-15745,Joel Eaton,Consumer,51,13,6760.8150000000005,0,High Value
JE-16165,Justin Ellison,Corporate,20,3,2697.248,2,At Risk
JF-15190,Jamie Frazer,Consumer,65,6,2239.606,2,At Risk
JF-15295,Jason Fortune-,Consumer,225,5,955.124,2,At Risk
JF-15355,Jay Fein,Consumer,105,6,1911.844,2,At Risk
JF-15415,Jennifer Ferguson,Consumer,2,5,2309.432,2,At Risk
JF-15490,Jeremy Farry,Consumer,121,10,890.95,1,Loyal Regular
JF-15565,Jill Fjeld,Consumer,54,8,4198.332,1,Loyal Regular
JG-15115,Jack Garza,Consumer,757,3,2358.676,3,New / Low Engagement
JG-15160,James Galang,Consumer,1,11,6366.392,1,Loyal Regular
JG-15310,Jason Gross,Corporate,2,6,2240.58,2,At Risk
JG-15805,John Grady,Corporate,223,6,1507.018,2,At Risk
JH-15430,Jennifer Halladay,Consumer,5,4,309.281,2,At Risk
JH-15820,John Huston,Consumer,174,6,528.91,2,At Risk
JH-15910,Jonathan Howell,Consumer,41,7,959.477,2,At Risk
JH-15985,Joseph Holt,Consumer,29,6,7954.998,0,High Value
JH-16180,Justin Hirsh,Consumer,404,4,2256.394,3,New / Low Engagement
JJ-15445,Jennifer Jackson,Consumer,483,5,709.178,3,New / Low Engagement
JJ-15760,Joel Jenkins,Home Office,752,2,195.0,3,New / Low Engagement
JK-15205,Jamie Kunitz,Consumer,61,4,4262.292,2,At Risk
